Body,a,P,M,ME,Radius,RE,Type
Mercury,0.38709927,74.8202572,3.30E+23,5.53E-02,2439.4,3.83E-01,T
Venus,0.72333566,224.700799,4.87E+24,8.15E-01,6051.8,9.50E-01,T
Earth,1.0000261,365.25636,5.97E+24,1.00E+00,6371.0084,1.00E+00,T
Mars,1.52371034,686.979586,6.42E+23,1.07E-01,3389.5,5.32E-01,T
Jupiter,5.202887,4332.820129,1.90E+27,3.18E+02,71492,1.12E+01,G
Saturn,9.53667594,10755.69864,5.68E+26,9.52E+01,58232,9.14E+00,G
Uranus,19.18916464,30687.153,8.68E+25,1.45E+01,25362,3.98E+00,I
Neptune,30.06992276,60190.0296,1.02E+26,1.71E+01,24622,3.86E+00,I
Ceres,2.76661904,1680.824888,9.38E+20,1.57E-04,469.7,7.37E-02,D
Pluto,39.4450697,90487.2769,1.30E+22,2.18E-03,1188.3,1.87E-01,D
Eris,68.1175851,205346.493,1.66E+22,2.78E-03,1200,1.88E-01,D
Haumea,42.9414319,102781.088,3.10E+21,5.19E-04,714,1.12E-01,D
Makemake,45.2593495,111214.4009,4.01E+21,6.71E-04,715,1.12E-01,D
Quaoar,43.472038,104691.86,1.40E+21,2.34E-04,555,8.71E-02,DC
Sedna,532.291301,4485620.005,1.00E+21,1.67E-04,530,8.32E-02,DC
Orcus,39.116441,89358.82097,6.40E+20,1.07E-04,460,7.22E-02,DC
Gongong,67.282729,201582.9642,1.75E+21,2.93E-04,615,9.65E-02,DC
Moon,1.0000261,365.25636,7.35E+22,1.23E-02,1737.4,2.73E-01,GM
Io,5.202887,4332.820129,8.93E+22,1.50E-02,1821.49,2.86E-01,GM
Europa,5.202887,4332.820129,4.80E+22,8.03E-03,1560.8,2.45E-01,GM
Ganymede,5.202887,4332.820129,1.48E+23,2.48E-02,2631.2,4.13E-01,GM
Callisto,5.202887,4332.820129,1.08E+23,1.80E-02,2410.3,3.78E-01,GM
Titan,9.53667594,10755.69864,1.35E+23,2.25E-02,2574.76,4.04E-01,GM
Triton,30.06992276,60190.0296,2.14E+22,3.58E-03,1352.6,2.12E-01,GM